+05.000000, +45.000000
+05.000000, +46.000000
+05.000000, +47.000000
+05.000000, +48.000000
+06.000000, +45.000000
+06.000000, +46.000000
+06.000000, +47.000000
+06.000000, +48.000000
+07.000000, +45.000000
+07.000000, +46.000000
+07.000000, +47.000000
+07.000000, +48.000000
+08.000000, +45.000000
+08.000000, +46.000000
+08.000000, +47.000000
+08.000000, +48.000000
+09.000000, +45.000000
+09.000000, +46.000000
+09.000000, +47.000000
+09.000000, +48.000000
+10.000000, +45.000000
+10.000000, +46.000000
+10.000000, +47.000000
+10.000000, +48.000000
+11.000000, +45.000000
+11.000000, +46.000000
+11.000000, +47.000000
+11.000000, +48.000000
+12.000000, +45.000000
+12.000000, +46.000000
+12.000000, +47.000000
+12.000000, +48.000000
+13.000000, +45.000000
+13.000000, +46.000000
+13.000000, +47.000000
+13.000000, +48.000000
+14.000000, +45.000000
+14.000000, +46.000000
+14.000000, +47.000000
+14.000000, +48.000000
+15.000000, +45.000000
+15.000000, +46.000000
+15.000000, +47.000000
+15.000000, +48.000000
+16.000000, +45.000000
+16.000000, +46.000000
+16.000000, +47.000000
+16.000000, +48.000000
